scenario,eta,a,c,p_ever_unstable,median_first_instability,terminal_p_stable,terminal_p_transition,terminal_p_unstable,terminal_mean_psi,terminal_q10_psi,terminal_q90_psi
buffered,0.13365168539325845,0.2,0.02,0.0,,1.0,0.0,0.0,0.15601396213856622,0.15191868886848317,0.1603173108290274
threshold_adjacent,0.21365168539325843,0.2,0.02,0.0,,0.5,0.5,0.0,0.0199909004623283,0.015730950981391226,0.024345663608576873
incipient_instability,0.24365168539325843,0.2,0.02,1.0,109.0,0.0,0.0033333333333333335,0.9966666666666667,-0.031191521699923522,-0.03548706478901289,-0.026962020479529652
high_stress,0.16,0.32,0.05,1.0,54.0,0.0,0.0,1.0,-0.28032922495478324,-0.28470771914366994,-0.2756539826005827
