eta,a,c,mean_terminal_psi,std_terminal_psi,sem_terminal_psi,q05_terminal_psi,q50_terminal_psi,q95_terminal_psi,stable_count,transition_count,unstable_count,p_stable,p_transition,p_unstable,p_stable_low,p_stable_high
0.005,0.05,0.01,0.7963654482364655,0.0035561686795932143,0.00017780843397966072,0.7903410524129868,0.7961850166320801,0.8019836485385895,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.00853932584269663,0.05,0.01,0.7905254679918289,0.0033246510359462916,0.0001662325517973146,0.7852546691894531,0.790608674287796,0.7958568394184112,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.012078651685393259,0.05,0.01,0.7842476651072502,0.003518346144094364,0.0001759173072047182,0.7789792805910111,0.7842752635478973,0.7898975521326065,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.01561797752808989,0.05,0.01,0.7785946346819401,0.0033939691279684134,0.00016969845639842066,0.7729965835809708,0.7783476114273071,0.7840799421072007,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.019157303370786517,0.05,0.01,0.772497646510601,0.0033337498284573973,0.00016668749142286987,0.7674627840518952,0.7725046277046204,0.778092211484909,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.022696629213483147,0.05,0.01,0.7660694774985314,0.0032673728950281364,0.00016336864475140683,0.7605091065168381,0.76616570353508,0.7712870836257935,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.026235955056179778,0.05,0.01,0.7605154201388359,0.003315750874656629,0.00016578754373283144,0.7552328467369079,0.760331779718399,0.7659203976392746,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.029775280898876405,0.05,0.01,0.7542969505488872,0.0034000105682706,0.00017000052841353,0.7485434800386429,0.7542098164558411,0.7597960948944091,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.033314606741573036,0.05,0.01,0.7483861853182315,0.003313052143641223,0.00016565260718206116,0.7432749330997467,0.7481135129928589,0.7539638459682465,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.03685393258426966,0.05,0.01,0.7421667928993702,0.003639257525685358,0.0001819628762842679,0.7363221496343613,0.7422068417072296,0.7483933627605438,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.04039325842696629,0.05,0.01,0.7361267776787281,0.0033033348970937,0.000165166744854685,0.7303415328264237,0.7361914813518524,0.7414538264274597,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.04393258426966292,0.05,0.01,0.7299111331999302,0.0035315208812102387,0.00017657604406051192,0.7236706733703613,0.7299908995628357,0.735535204410553,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.04747191011235955,0.05,0.01,0.7241421660780907,0.0033944195579446745,0.00016972097789723372,0.7188298463821411,0.724203497171402,0.7293274968862533,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.05101123595505618,0.05,0.01,0.7180516748130321,0.0033726954427945755,0.00016863477213972878,0.7122426956892014,0.7179604172706604,0.7234151721000671,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.054550561797752806,0.05,0.01,0.712000437527895,0.003356887252050049,0.00016784436260250244,0.706451153755188,0.7120029926300049,0.7178880363702774,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.058089887640449436,0.05,0.01,0.7060105216503143,0.0035168827236645808,0.00017584413618322903,0.6999091565608978,0.7060565650463104,0.7116401314735412,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.06162921348314607,0.05,0.01,0.7001855944097042,0.003347411961081259,0.00016737059805406294,0.6946913242340088,0.7000708878040314,0.7056462585926055,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.0651685393258427,0.05,0.01,0.6938601237535477,0.0034623137860885188,0.00017311568930442593,0.6884004712104798,0.6938915252685547,0.699271684885025,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.06870786516853933,0.05,0.01,0.6879713658988476,0.00353691073475196,0.00017684553673759802,0.681701448559761,0.6881205439567566,0.6934721976518631,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.07224719101123596,0.05,0.01,0.6817123056948184,0.0031498414402728095,0.00015749207201364048,0.6765904515981674,0.681862086057663,0.6867961615324021,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.07578651685393259,0.05,0.01,0.6760269127786159,0.003406395017228628,0.0001703197508614314,0.6706441849470138,0.6761305332183838,0.6814769297838211,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.07932584269662922,0.05,0.01,0.670023560076952,0.0033903936432462998,0.000169519682162315,0.6642946004867554,0.6699894368648529,0.675717955827713,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.08286516853932585,0.05,0.01,0.663481239527464,0.0034073506968064,0.00017036753484032,0.6580650329589843,0.6635003089904785,0.6687936663627625,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.08640449438202248,0.05,0.01,0.6579856742918492,0.003338491295487408,0.00016692456477437038,0.6526056379079819,0.6579742729663849,0.6632351845502853,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.08994382022471911,0.05,0.01,0.6517581415176391,0.0034973381482211784,0.00017486690741105892,0.6459787845611572,0.65170618891716,0.6580119431018829,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.09348314606741574,0.05,0.01,0.6460370329022408,0.003156980078397652,0.0001578490039198826,0.6409579187631607,0.6461707651615143,0.6509810507297515,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.09702247191011237,0.05,0.01,0.6395260854065419,0.003527426829554768,0.0001763713414777384,0.6341225773096084,0.639317512512207,0.6457338780164719,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.10056179775280899,0.05,0.01,0.6334293358027935,0.003665824033383376,0.0001832912016691688,0.6271806448698044,0.6334321200847626,0.639523696899414,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.10410112359550562,0.05,0.01,0.6275843331217765,0.0033023400210320554,0.00016511700105160276,0.6221736639738082,0.6275653541088104,0.6326488286256791,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
0.10764044943820225,0.05,0.01,0.6215902782976628,0.0036212019978003355,0.00018106009989001678,0.6154279679059982,0.6219598650932312,0.6273693323135376,400,0,0,1.0,0.0,0.0,0.9904877056657034,0.9999999999999999
