regime,mean_delta_unstable_adaptive_vs_passive,se_delta_unstable_adaptive_vs_passive,mean_delta_unstable_adaptive_vs_scheduled,se_delta_unstable_adaptive_vs_scheduled,mean_delta_terminal_adaptive_vs_passive,se_delta_terminal_adaptive_vs_passive,mean_delta_terminal_adaptive_vs_scheduled,se_delta_terminal_adaptive_vs_scheduled,mean_delta_intervention_adaptive_vs_scheduled,n_conditions
stressed,0.9927083333333333,0.0072916666666666685,0.0,0.0,0.10005305834035212,0.0014503655855633976,0.010023431635151509,0.0011672221307047017,-0.00016145833333330514,16
threshold_adjacent,0.0,0.0,0.0,0.0,0.08390289791648806,0.0002276607141615557,-0.002997896441519852,0.0002779243124686659,0.0013072916666666719,16
