condition_id,a,c,eta,regime,mode,mean_terminal_psi,std_terminal_psi,sem_terminal_psi,p_ever_unstable,p_ever_unstable_low,p_ever_unstable_high
0,0.15,0.01,0.3058426966292135,boundary,full,0.020217092370777554,0.0036101827899733697,0.00020843400056148789,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.3058426966292135,boundary,memoryless,0.007584616291650578,0.010220594424530252,0.0005900862942280529,0.4866666666666667,0.43063449599449377,0.5430359832381607
0,0.15,0.01,0.3058426966292135,boundary,no_consensus_risk,0.46562803925526214,0.002965043509369737,0.00017118686682935703,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.3058426966292135,boundary,no_crypto_risk,0.14835353538334956,0.0033463799444871933,0.00019320333617604458,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.3058426966292135,boundary,no_cumulative_stress,0.042087069711462186,0.003141895539521988,0.0001813974235508704,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.3058426966292135,boundary,no_operational_cost,0.06357806270883624,0.0034863748842031833,0.0002012859477890658,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.3058426966292135,boundary,no_quantum_risk,0.43543172241781464,0.0024314435428156784,0.0001403794583964009,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.3058426966292135,boundary,no_resilience_reserve,-0.5128999616138813,0.0032250785256737963,0.00018619999549554476,1.0,0.9873570287754538,0.9999999999999998
0,0.15,0.01,0.3058426966292135,boundary,pqc_consensus_only,0.31365275887038335,0.0021510190808596875,0.00012418914453663619,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.3058426966292135,boundary,qkd_only,0.6377774839987335,0.0026791769927761748,0.00015468235579859765,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.3058426966292135,boundary,static_threshold,0.10458700457023114,0.002197995630196484,0.0001269013368771561,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.2658426966292135,buffered,full,0.08799419971145822,0.003457487902528024,0.00019961815712444292,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.2658426966292135,buffered,memoryless,0.07605804646907346,0.0112680435186729,0.0006505607958746216,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.2658426966292135,buffered,no_consensus_risk,0.5335626743632927,0.0026548040243887625,0.00015327518181265537,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.2658426966292135,buffered,no_crypto_risk,0.2087231606451108,0.003253341617667746,0.00018783176587262854,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.2658426966292135,buffered,no_cumulative_stress,0.10846621540821699,0.0033820775360055987,0.00019526433758330184,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.2658426966292135,buffered,no_operational_cost,0.12975998175892536,0.003325591779709159,0.00019200313092298895,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.2658426966292135,buffered,no_quantum_risk,0.4541643898314237,0.002479730560507115,0.00014316731066265243,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.2658426966292135,buffered,no_resilience_reserve,-0.45339382995267347,0.003025152789025041,0.00017465727770833546,1.0,0.9873570287754538,0.9999999999999998
0,0.15,0.01,0.2658426966292135,buffered,pqc_consensus_only,0.3217757571320207,0.0019639669906182256,0.00011338968707129716,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.2658426966292135,buffered,qkd_only,0.6954535437482696,0.002627150128012693,0.00015167858336096878,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.2658426966292135,buffered,static_threshold,0.15416670601059304,0.002312030969623953,0.00013348517026871406,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.32,stressed,full,-0.004531622405685586,0.003318655484366738,0.00019160266372467637,0.8933333333333333,0.8532967116826325,0.9234241509540578
