condition_id,a,c,eta,regime,mode,mean_terminal_psi,std_terminal_psi,sem_terminal_psi,p_ever_unstable,p_ever_unstable_low,p_ever_unstable_high
0,0.15,0.01,0.2658426966292135,buffered,full,0.08799419971145822,0.003457487902528024,0.00019961815712444292,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.2658426966292135,buffered,memoryless,0.07605804646907346,0.0112680435186729,0.0006505607958746216,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.2658426966292135,buffered,no_consensus_risk,0.5335626743632927,0.0026548040243887625,0.00015327518181265537,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.2658426966292135,buffered,no_crypto_risk,0.2087231606451108,0.003253341617667746,0.00018783176587262854,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.2658426966292135,buffered,no_cumulative_stress,0.10846621540821699,0.0033820775360055987,0.00019526433758330184,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.2658426966292135,buffered,no_operational_cost,0.12975998175892536,0.003325591779709159,0.00019200313092298895,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.2658426966292135,buffered,no_quantum_risk,0.4541643898314237,0.002479730560507115,0.00014316731066265243,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.2658426966292135,buffered,no_resilience_reserve,-0.45339382995267347,0.003025152789025041,0.00017465727770833546,1.0,0.9873570287754538,0.9999999999999998
0,0.15,0.01,0.2658426966292135,buffered,pqc_consensus_only,0.3217757571320207,0.0019639669906182256,0.00011338968707129716,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.2658426966292135,buffered,qkd_only,0.6954535437482696,0.002627150128012693,0.00015167858336096878,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.2658426966292135,buffered,static_threshold,0.15416670601059304,0.002312030969623953,0.00013348517026871406,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.32,stressed,full,-0.004531622405685586,0.003318655484366738,0.00019160266372467637,0.8933333333333333,0.8532967116826325,0.9234241509540578
0,0.15,0.01,0.32,stressed,memoryless,-0.017138332398690316,0.011059054942011379,0.000638494834775313,1.0,0.9873570287754538,0.9999999999999998
0,0.15,0.01,0.32,stressed,no_consensus_risk,0.44133251033210474,0.0028099058689486202,0.0001622299909834995,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.32,stressed,no_crypto_risk,0.12688023773195892,0.003344048621043645,0.0001930687371542745,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.32,stressed,no_cumulative_stress,0.017997886769962636,0.0033609000856660515,0.0001940416569178731,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.32,stressed,no_operational_cost,0.0404309251174244,0.0031201065317207543,0.0001801394345989287,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.32,stressed,no_quantum_risk,0.42887977589018333,0.0024444811787173223,0.00014113218665614196,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.32,stressed,no_resilience_reserve,-0.5342939829882333,0.003130318736055078,0.00018072903649107283,1.0,0.9873570287754538,0.9999999999999998
0,0.15,0.01,0.32,stressed,pqc_consensus_only,0.3106505008431652,0.0020143334150031817,0.0001162975939389745,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.32,stressed,qkd_only,0.6173043578341303,0.002808100339574368,0.0001621257486964741,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.32,stressed,static_threshold,0.08703817812829394,0.002265256451395419,0.00013078464219966815,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.3058426966292135,threshold_adjacent,full,0.02010456354671079,0.0033606442794913193,0.0001940268879414889,0.0,0.0,0.012642971224546036
0,0.15,0.01,0.3058426966292135,threshold_adjacent,memoryless,0.007211422424894281,0.010547304921992488,0.0006089489335937427,0.5566666666666666,0.5000873808268701,0.6118130824343481
